name,link,Price,image_link,,,,
"
Jagat Traditional 1121 Basmati Rice 5KG ",https://www.sastodeal.com/jagat-traditional-1121-basmati-rice-5kg-jagat-traditional-1121-basmati-rice-5kg.html,"à¤°à¥‚ 1,000",https://static.sastodeal.com//media/seller/265297/_/d/_dsc0341.jpg,,,,
,,,,,,,
"
Jagat Premium Long Grain Basmati Rice 5KG ",https://www.sastodeal.com/jagat-premium-long-grain-basmati-rice-5kg-jagat-premium-long-grain-basmati-rice-5kg.html,à¤°à¥‚ 700,https://static.sastodeal.com//media/seller/265297/_/d/_dsc0347.jpg,,,,
,,,,,,,
"
Jagat Royal Shahi Pulao Basmati Rice 5KG ",https://www.sastodeal.com/jagat-royal-shahi-pulao-basmati-rice-5kg-jagat-royal-shahi-pulao-basmati-rice-5kg.html,à¤°à¥‚ 850,https://static.sastodeal.com//media/seller/265297/_/d/_dsc0350_1.jpg,,,,
,,,,,,,
"
JAGAT ROYAL SONAM RICE 20KG ",https://www.sastodeal.com/jagat-royal-sonam-rice-20kg-jagat-royal-sonam-rice-20kg.html,"à¤°à¥‚ 1,900",https://static.sastodeal.com//media/seller/265297/_/d/_dsc0384_1.jpg,,,,
,,,,,,,
"
Bhanchha Ghar Long Grain Rice 20Kg - Free Weldone Chilli Powder 200 Gm-5Pc Wai Wai Free ",https://www.sastodeal.com/bhanchha-ghar-long-grain-rice-20kg-free-weldone-chilli-powder-200-gm-5pc-wa-combo-xmas-020.html,"à¤°à¥‚ 3,375",https://static.sastodeal.com//media/seller/221389/2/0/20_13.jpg,,,,
,,,,,,,
"
Buy Thakali Basmati Rice 20Kg And Get Shakti Soyabean 500Ml Oil @ Rs 95 ",https://www.sastodeal.com/buy-thakali-basmati-rice-20kg-and-get-shakti-soyabean-500ml-oil-rs-95-guru-com-001.html,"à¤°à¥‚ 2,750",https://static.sastodeal.com//media/seller/221389/1/_/1_285.jpg,,,,
,,,,,,,
"
Kirana:- Sabudana (à¤¸à¤¾à¤¬à¥‚à¤¦à¤¾à¤¨à¤¾) 500g ",https://www.sastodeal.com/kirana-sabudana-500g-kr-sab-0-500g.html,à¤°à¥‚ 150,https://static.sastodeal.com//media/seller/199418/[kr-sab-0-500g] kr-Sabudana (à¤¸à¤¾à¤¬à¥‚à¤¦à¤¾à¤¨à¤¾) 500g.jpg,,,,
,,,,,,,
"
Bhanchhaghar Long Grain Rice 20 kg ",https://www.sastodeal.com/bhanchhaghar-long-grain-rice-20-kg-mart-gurju-003.html,"à¤°à¥‚ 3,225",https://static.sastodeal.com//media/seller/221389/b/h/bhansaghar-long-grain-premium-speacial-rice-20kg-removebg-preview.jpg,,,,
,,,,,,,
"
Test5 ",https://www.sastodeal.com/test5-test-7-1173.html,à¤°à¥‚ 40,https://www.sastodeal.com/media/catalog/product/placeholder/default/sastodeal_1.jpg,,,,
,,,,,,,
"
Brown Basmati Rice 5 Kg ",https://www.sastodeal.com/brown-basmati-rice-5-kg-foodm-grocery-001.html,à¤°à¥‚ 525,https://static.sastodeal.com//media/seller/125167/16311/FOODM-GROCERY-001/1a.jpg,,,,
,,,,,,,
"
Thakali Paraboiled Rice 20 Kg ",https://www.sastodeal.com/thakali-paraboiled-rice-20-kg-guruju-july-023.html,"à¤°à¥‚ 2,900",https://static.sastodeal.com//media/seller/221389/i/m/image_1024_1.jpg,,,,
,,,,,,,
"
Newari Shahi Basmati Rice 20 Kg ",https://www.sastodeal.com/newari-shahi-basmati-rice-20-kg-gur-uju-009.html,"à¤°à¥‚ 3,275",https://static.sastodeal.com//media/seller/221389/n/e/newari.jpeg,,,,
,,,,,,,
"
 Aruwa Sona Mansuli Rice 30 Kg ",https://www.sastodeal.com/aruwa-sona-mansuli-rice-30-kg-fmn-nepal-011.html,"à¤°à¥‚ 1,590",https://static.sastodeal.com//media/seller/125167/6/0/609cb79cb60ee.png_1.jpg,,,,
,,,,,,,
"
Timepass Taichin Chiura (Beaten Rice) 1Kg ",https://www.sastodeal.com/timepass-taichin-chiura-beaten-rice-1kg-fmn-nepal-001.html,à¤°à¥‚ 85,https://static.sastodeal.com//media/seller/125167/16014/FMN-NEPAL-001/1.jpg,,,,
